AFRICA/ABIDJAN	+00:00	+00:00
AFRICA/ACCRA	+00:00	+00:00
AFRICA/ADDIS_ABABA	+03:00	+03:00
AFRICA/ALGIERS	+01:00	+01:00
AFRICA/ASMARA	+03:00	+03:00
AFRICA/ASMERA	+03:00	+03:00
AFRICA/BAMAKO	+00:00	+00:00
AFRICA/BANGUI	+01:00	+01:00
AFRICA/BANJUL	+00:00	+00:00
AFRICA/BISSAU	+00:00	+00:00
AFRICA/BLANTYRE	+02:00	+02:00
AFRICA/BRAZZAVILLE	+01:00	+01:00
AFRICA/BUJUMBURA	+02:00	+02:00
AFRICA/CAIRO	+02:00	+02:00
AFRICA/CASABLANCA	+01:00	+00:00
AFRICA/CEUTA	+01:00	+02:00
AFRICA/CONAKRY	+00:00	+00:00
AFRICA/DAKAR	+00:00	+00:00
AFRICA/DAR_ES_SALAAM	+03:00	+03:00
AFRICA/DJIBOUTI	+03:00	+03:00
AFRICA/DOUALA	+01:00	+01:00
AFRICA/EL_AAIUN	+01:00	+00:00
AFRICA/FREETOWN	+00:00	+00:00
AFRICA/GABORONE	+02:00	+02:00
AFRICA/HARARE	+02:00	+02:00
AFRICA/JOHANNESBURG	+02:00	+02:00
AFRICA/JUBA	+02:00	+02:00
AFRICA/KAMPALA	+03:00	+03:00
AFRICA/KHARTOUM	+02:00	+02:00
AFRICA/KIGALI	+02:00	+02:00
AFRICA/KINSHASA	+01:00	+01:00
AFRICA/LAGOS	+01:00	+01:00
AFRICA/LIBREVILLE	+01:00	+01:00
AFRICA/LOME	+00:00	+00:00
AFRICA/LUANDA	+01:00	+01:00
AFRICA/LUBUMBASHI	+02:00	+02:00
AFRICA/LUSAKA	+02:00	+02:00
AFRICA/MALABO	+01:00	+01:00
AFRICA/MAPUTO	+02:00	+02:00
AFRICA/MASERU	+02:00	+02:00
AFRICA/MBABANE	+02:00	+02:00
AFRICA/MOGADISHU	+03:00	+03:00
AFRICA/MONROVIA	+00:00	+00:00
AFRICA/NAIROBI	+03:00	+03:00
AFRICA/NDJAMENA	+01:00	+01:00
AFRICA/NIAMEY	+01:00	+01:00
AFRICA/NOUAKCHOTT	+00:00	+00:00
AFRICA/OUAGADOUGOU	+00:00	+00:00
AFRICA/PORTO-NOVO	+01:00	+01:00
AFRICA/SAO_TOME	+00:00	+00:00
AFRICA/TIMBUKTU	+00:00	+00:00
AFRICA/TRIPOLI	+02:00	+02:00
AFRICA/TUNIS	+01:00	+01:00
AFRICA/WINDHOEK	+02:00	+02:00
AMERICA/ADAK	-10:00	-09:00
AMERICA/ANCHORAGE	-09:00	-08:00
AMERICA/ANGUILLA	-04:00	-04:00
AMERICA/ANTIGUA	-04:00	-04:00
AMERICA/ARAGUAINA	-03:00	-03:00
AMERICA/ARGENTINA/BUENOS_AIRES	-03:00	-03:00
AMERICA/ARGENTINA/CATAMARCA	-03:00	-03:00
AMERICA/ARGENTINA/COMODRIVADAVIA	-03:00	-03:00
AMERICA/ARGENTINA/CORDOBA	-03:00	-03:00
AMERICA/ARGENTINA/JUJUY	-03:00	-03:00
AMERICA/ARGENTINA/LA_RIOJA	-03:00	-03:00
AMERICA/ARGENTINA/MENDOZA	-03:00	-03:00
AMERICA/ARGENTINA/RIO_GALLEGOS	-03:00	-03:00
AMERICA/ARGENTINA/SALTA	-03:00	-03:00
AMERICA/ARGENTINA/SAN_JUAN	-03:00	-03:00
AMERICA/ARGENTINA/SAN_LUIS	-03:00	-03:00
AMERICA/ARGENTINA/TUCUMAN	-03:00	-03:00
AMERICA/ARGENTINA/USHUAIA	-03:00	-03:00
AMERICA/ARUBA	-04:00	-04:00
AMERICA/ASUNCION	-04:00	-03:00
AMERICA/ATIKOKAN	-05:00	-05:00
AMERICA/ATKA	-10:00	-09:00
AMERICA/BAHIA	-03:00	-03:00
AMERICA/BAHIA_BANDERAS	-06:00	-05:00
AMERICA/BARBADOS	-04:00	-04:00
AMERICA/BELEM	-03:00	-03:00
AMERICA/BELIZE	-06:00	-06:00
AMERICA/BLANC-SABLON	-04:00	-04:00
AMERICA/BOA_VISTA	-04:00	-04:00
AMERICA/BOGOTA	-05:00	-05:00
AMERICA/BOISE	-07:00	-06:00
AMERICA/BUENOS_AIRES	-03:00	-03:00
AMERICA/CAMBRIDGE_BAY	-07:00	-06:00
AMERICA/CAMPO_GRANDE	-04:00	-04:00
AMERICA/CANCUN	-05:00	-05:00
AMERICA/CARACAS	-04:00	-04:00
AMERICA/CATAMARCA	-03:00	-03:00
AMERICA/CAYENNE	-03:00	-03:00
AMERICA/CAYMAN	-05:00	-05:00
AMERICA/CHICAGO	-06:00	-05:00
AMERICA/CHIHUAHUA	-07:00	-06:00
AMERICA/CORAL_HARBOUR	-05:00	-05:00
AMERICA/CORDOBA	-03:00	-03:00
AMERICA/COSTA_RICA	-06:00	-06:00
AMERICA/CRESTON	-07:00	-07:00
AMERICA/CUIABA	-04:00	-04:00
AMERICA/CURACAO	-04:00	-04:00
AMERICA/DANMARKSHAVN	+00:00	+00:00
AMERICA/DAWSON	-07:00	-07:00
AMERICA/DAWSON_CREEK	-07:00	-07:00
